id_verb,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM,object,pp1,pp2,correctedness_perc,aff_diff,offline_diff,id_obj,correct,object_log,pp1_log,pp2_log,origin,post_target,post_target_log
37,2,3,Isabel vió a la tormenta desde su ventana durante una mañana.,19,0,1,0,0,0,1,0.7986652851104736,2.006061315536499,2.1224331855773926,97.87234042553192,-0.4500000000000002,-1.5950000000000002,2,0,-0.22481333824469138,0.6961732551426504,0.752563159592407,1,0.6723299026489258,-0.39700613236310545
47,0,4,Marta descartó a la aspirante en la selección en un día.,19,0,1,1,0,0,1,0.7246644496917725,2.7973976135253906,2.3385701179504395,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,-0.3220465592767536,1.0286895612581737,0.8495396818909865,1,0.8322064876556396,-0.18367468667464248
0,2,5,Juan golpeó a la piedra en la calle en diez segundos.,19,0,1,0,0,1,1,0.6457977294921875,2.2917633056640625,2.6991047859191895,97.87234042553192,0.4500000000000002,-1.5950000000000002,2,0,-0.43726893647060366,0.8293215237397248,0.9929201572611877,1,0.5778331756591797,-0.5484700753965418
29,5,8,Alfonso miró la estrella en la colina durante dos horas.,19,0,1,0,0,0,0,0.7561204433441162,1.9314112663269043,1.8492438793182373,97.87234042553192,-0.4500000000000002,1.2799999999999998,2,1,-0.2795545988993984,0.6582509617773786,0.6147768416619157,1,0.7120468616485596,-0.3396115528138656
1,3,13,Carlos asaltó la conductora en el barrio en pocos instantes.,19,0,1,1,0,1,0,0.7082059383392334,2.1874096393585205,2.7962491512298584,97.87234042553192,0.4500000000000002,-0.5950000000000002,0,0,-0.3450203542233725,0.7827180306746259,1.0282789302834376,1,0.8262088298797607,-0.19090771673724446
10,1,14,Mateo eliminó a una rehén en el banco en pocos segundos.,19,0,1,1,1,1,1,0.5565576553344727,1.9031274318695068,2.09344220161438,97.87234042553192,0.4500000000000002,0.6549999999999998,1,1,-0.5859845101568657,0.6434985497449343,0.7388096976003005,1,0.6612606048583984,-0.41360725834518763
8,2,15,Helena colgó a la fotografía en el patio en cinco minutos.,19,0,1,0,0,1,1,1.481356143951416,2.1605091094970703,1.9132153987884521,97.87234042553192,0.4500000000000002,-1.5950000000000002,2,0,0.3929579816977915,0.7703438927647019,0.6487852814997743,1,0.5817484855651855,-0.5417170800430289
30,3,20,Carlos esperó la profesora en la esquina durante una hora.,19,0,1,1,0,0,0,0.8789019584655762,2.209826707839966,2.167879581451416,97.87234042553192,-0.4500000000000002,-0.5950000000000002,0,0,-0.12908192509956332,0.7929140997131248,0.7737495384238259,1,0.932509183883667,-0.06987627884385247
34,4,21,Carmen odió una vendedora en el cine durante la película.,19,0,1,1,1,0,0,0.7127828598022461,2.346832752227783,3.125649929046631,97.87234042553192,-0.4500000000000002,0.1549999999999998,1,0,-0.33857844940779946,0.853066654094469,1.1396422388590073,1,0.7160663604736328,-0.3339824340904794
9,4,28,Carlos quemó una bruja en la plaza en pocos minutos.,19,0,1,1,1,1,0,0.42417168617248535,1.369692087173462,1.7967338562011719,97.87234042553192,0.4500000000000002,0.1549999999999998,1,0,-0.8576169854901214,0.3145859606911094,0.5859704923260061,1,0.4497640132904053,-0.7990322486815733
